SigUF,DscClasseConsumo,MthAtualizaCadastralEmpreend,DscClasseConsumo
AC,Comercial,2015-06,1
AC,Comercial,2015-07,1
AC,Comercial,2017-04,1
AC,Comercial,2017-05,1
AC,Comercial,2017-06,1
AC,Comercial,2017-09,1
AC,Comercial,2018-03,1
AC,Comercial,2018-05,1
AC,Comercial,2018-06,1
AC,Comercial,2018-10,2
AC,Comercial,2018-11,2
AC,Comercial,2018-12,1
AC,Comercial,2019-01,3
AC,Comercial,2019-02,1
AC,Comercial,2019-03,1
AC,Comercial,2019-04,2
AC,Comercial,2019-06,4
AC,Comercial,2019-07,2
AC,Comercial,2019-08,2
AC,Comercial,2019-09,6
AC,Comercial,2019-10,5
AC,Comercial,2019-11,3
AC,Comercial,2019-12,3
AC,Comercial,2020-01,4
AC,Comercial,2020-02,10
AC,Comercial,2020-03,8
AC,Comercial,2020-04,3
AC,Comercial,2020-05,7
AC,Comercial,2020-06,4
AC,Comercial,2020-07,6
AC,Comercial,2020-08,3
AC,Comercial,2020-09,9
AC,Comercial,2020-10,7
AC,Comercial,2020-11,8
AC,Comercial,2020-12,6
AC,Comercial,2021-01,8
AC,Comercial,2021-02,11
AC,Comercial,2021-03,7
AC,Comercial,2021-04,15
AC,Comercial,2021-05,15
AC,Comercial,2021-06,11
AC,Comercial,2021-07,19
AC,Comercial,2021-08,14
AC,Comercial,2021-09,26
AC,Comercial,2021-10,19
AC,Comercial,2021-11,28
AC,Comercial,2021-12,23
AC,Comercial,2022-01,20
AC,Comercial,2022-02,18
AC,Comercial,2022-03,22
AC,Comercial,2022-04,17
AC,Comercial,2022-05,16
AC,Comercial,2022-06,13
AC,Comercial,2022-07,24
AC,Comercial,2022-08,18
AC,Comercial,2022-09,9
AC,Comercial,2022-10,12
AC,Comercial,2022-11,11
AC,Comercial,2022-12,17
AC,Comercial,2023-01,25
AC,Comercial,2023-02,20
AC,Industrial,2018-06,1
AC,Industrial,2019-04,1
AC,Industrial,2020-05,1
AC,Industrial,2020-06,1
AC,Industrial,2020-11,1
AC,Industrial,2021-05,1
AC,Industrial,2021-06,1
AC,Industrial,2021-08,2
AC,Industrial,2021-09,1
AC,Industrial,2022-01,1
AC,Industrial,2022-03,1
AC,Industrial,2022-04,1
AC,Industrial,2022-11,2
AC,Industrial,2022-12,1
AC,Industrial,2023-02,1
AC,Poder Público,2019-11,1
AC,Poder Público,2021-02,2
AC,Poder Público,2021-04,2
AC,Poder Público,2021-10,1
AC,Poder Público,2022-04,1
AC,Poder Público,2022-06,1
AC,Poder Público,2022-08,1
AC,Poder Público,2022-10,1
AC,Residencial,2015-04,1
AC,Residencial,2016-08,1
AC,Residencial,2017-03,2
AC,Residencial,2017-04,1
AC,Residencial,2017-06,1
AC,Residencial,2017-07,1
AC,Residencial,2017-10,1
AC,Residencial,2017-11,1
AC,Residencial,2017-12,5
AC,Residencial,2018-01,2
AC,Residencial,2018-02,3
AC,Residencial,2018-03,1
AC,Residencial,2018-05,1
AC,Residencial,2018-07,3
AC,Residencial,2018-08,3
AC,Residencial,2018-09,1
AC,Residencial,2018-10,4
AC,Residencial,2018-11,1
AC,Residencial,2018-12,3
AC,Residencial,2019-01,8
AC,Residencial,2019-02,3
AC,Residencial,2019-03,6
AC,Residencial,2019-04,7
AC,Residencial,2019-05,3
AC,Residencial,2019-06,12
AC,Residencial,2019-07,7
AC,Residencial,2019-08,10
AC,Residencial,2019-09,4
AC,Residencial,2019-10,11
AC,Residencial,2019-11,9
AC,Residencial,2019-12,15
AC,Residencial,2020-01,14
AC,Residencial,2020-02,23
AC,Residencial,2020-03,30
AC,Residencial,2020-04,17
AC,Residencial,2020-05,45
AC,Residencial,2020-06,20
AC,Residencial,2020-07,37
AC,Residencial,2020-08,38
AC,Residencial,2020-09,39
AC,Residencial,2020-10,32
AC,Residencial,2020-11,52
AC,Residencial,2020-12,67
AC,Residencial,2021-01,49
AC,Residencial,2021-02,48
AC,Residencial,2021-03,51
AC,Residencial,2021-04,121
AC,Residencial,2021-05,80
AC,Residencial,2021-06,96
AC,Residencial,2021-07,101
AC,Residencial,2021-08,92
AC,Residencial,2021-09,96
AC,Residencial,2021-10,100
AC,Residencial,2021-11,157
AC,Residencial,2021-12,164
AC,Residencial,2022-01,188
AC,Residencial,2022-02,174
AC,Residencial,2022-03,190
AC,Residencial,2022-04,156
AC,Residencial,2022-05,113
AC,Residencial,2022-06,148
AC,Residencial,2022-07,104
AC,Residencial,2022-08,109
AC,Residencial,2022-09,67
AC,Residencial,2022-10,88
AC,Residencial,2022-11,95
AC,Residencial,2022-12,83
AC,Residencial,2023-01,184
AC,Residencial,2023-02,126
AC,Rural,2019-01,1
AC,Rural,2019-04,1
AC,Rural,2019-10,1
AC,Rural,2019-12,3
AC,Rural,2020-01,2
AC,Rural,2020-03,2
AC,Rural,2020-04,3
AC,Rural,2020-05,1
AC,Rural,2020-06,1
AC,Rural,2020-07,1
AC,Rural,2020-08,1
AC,Rural,2020-09,2
AC,Rural,2020-10,2
AC,Rural,2020-11,2
AC,Rural,2020-12,1
AC,Rural,2021-01,1
AC,Rural,2021-02,4
AC,Rural,2021-03,2
AC,Rural,2021-04,6
AC,Rural,2021-05,8
AC,Rural,2021-06,11
AC,Rural,2021-07,2
AC,Rural,2021-08,6
AC,Rural,2021-09,1
AC,Rural,2021-10,11
AC,Rural,2021-11,4
AC,Rural,2021-12,8
AC,Rural,2022-01,12
AC,Rural,2022-02,6
AC,Rural,2022-03,9
AC,Rural,2022-04,9
AC,Rural,2022-05,15
AC,Rural,2022-06,8
AC,Rural,2022-07,9
AC,Rural,2022-08,12
AC,Rural,2022-09,5
AC,Rural,2022-10,4
AC,Rural,2022-11,5
AC,Rural,2022-12,5
AC,Rural,2023-01,13
AC,Rural,2023-02,7
AC,Serviço Público,2020-04,1
AL,Comercial,2015-07,1
AL,Comercial,2017-02,2
AL,Comercial,2017-04,1
AL,Comercial,2020-01,2
AL,Comercial,2020-04,2
AL,Comercial,2020-10,1
AL,Comercial,2020-12,14
AL,Comercial,2021-01,18
AL,Comercial,2021-02,22
AL,Comercial,2021-03,51
AL,Comercial,2021-04,45
AL,Comercial,2021-05,28
AL,Comercial,2021-06,35
AL,Comercial,2021-07,64
AL,Comercial,2021-08,50
AL,Comercial,2021-09,67
AL,Comercial,2021-10,44
AL,Comercial,2021-11,46
AL,Comercial,2021-12,86
AL,Comercial,2022-01,76
AL,Comercial,2022-02,57
AL,Comercial,2022-03,77
AL,Comercial,2022-04,82
AL,Comercial,2022-05,46
AL,Comercial,2022-07,1
AL,Comercial,2022-10,1
AL,Comercial,2022-11,4
AL,Comercial,2023-01,2
AL,Comercial,2023-02,3
AL,Comercial,2023-03,1
AL,Industrial,2021-01,2
AL,Industrial,2021-04,1
AL,Industrial,2021-05,4
AL,Industrial,2021-06,2
AL,Industrial,2021-07,4
AL,Industrial,2021-09,5
AL,Industrial,2021-10,1
AL,Industrial,2021-11,1
AL,Industrial,2021-12,1
AL,Industrial,2022-02,2
AL,Industrial,2022-03,7
AL,Industrial,2022-04,6
AL,Industrial,2022-05,5
AL,Poder Público,2020-09,1
AL,Poder Público,2021-08,3
AL,Poder Público,2021-09,1
AL,Poder Público,2021-10,3
AL,Poder Público,2021-11,1
AL,Poder Público,2022-01,1
AL,Poder Público,2022-04,1
AL,Poder Público,2022-05,1
AL,Residencial,2016-01,1
AL,Residencial,2016-03,1
AL,Residencial,2016-08,1
AL,Residencial,2016-10,1
AL,Residencial,2016-12,1
